PC	variance
1	0.423854031802685
2	0.186863713854438
3	0.0477062299663072
4	0.0382272745965095
5	0.0293385891158014
6	0.0226758563571766
7	0.0201616571383984
8	0.0184143737023419
9	0.0158243956178689
10	0.014763246525319
11	0.0133249367532727
12	0.0116444958570234
13	0.0107220594738074
14	0.0100759070813736
15	0.00923822454562401
16	0.00828172858114828
17	0.00756334077503081
18	0.00696459492762334
19	0.00692502369786265
20	0.00675736030653427
21	0.00656304574793569
22	0.0058765938716439
23	0.00540943333758063
24	0.00520408857333803
25	0.00501578110855908
26	0.00473712527453213
27	0.00444835786221417
28	0.00418652715408545
29	0.00388988170089226
30	0.00365557002707697
31	0.00344832488312465
32	0.00331901612864456
33	0.00309115919942671
34	0.00293415509818012
35	0.00283165932199646
36	0.00278805510872168
37	0.0026028024010796
38	0.00237871620685848
39	0.00229727319256332
40	0.00215782170348903
41	0.00196697863125219
42	0.00186403906541884
43	0.00157028080957074
44	0.0014688291730498
45	0.00142738955545286
46	0.00132920282410265
47	0.00121121984151744
48	0.0011958635976785
49	0.000922839130847258
50	0.000880928793020188
