strategy	median_run_partial_r2	median_plate_partial_r2	median_group_partial_r2	group_r2_change_from_raw	sample_median_sd	mean_within_group_sample_median_sd	median_absolute_sample_shift	p95_absolute_sample_shift	PC1_group_eta2	PC1_run_eta2	PC1_plate_eta2	QC_median_feature_MAD	QC_sample_median_SD	QC_median_pairwise_spearman	Internal_median_feature_MAD	Internal_sample_median_SD	Internal_median_pairwise_spearman	family	uses_group_in_preprocessing	description	screening_score
S02_run_only	0.0184480322133516	0.037204317157624	0.0112930482088549	0	0.323314978493456	0.315856652157061	0.00530296679806064	0.00530296679806064	0.0287296632087222	0.00710145435516641	0.0434144082286371	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	FALSE	Internal HELP Run correction only	32.5
S03_minimal_run_plate	0.0184480322133516	0.037204317157624	0.0112930482088549	0	0.323314978493456	0.315856652157061	0.00530296679806064	0.00530296679806064	0.0287296632087222	0.00710145435516641	0.0434144082286371	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	FALSE	Run plus QC endogenous-protein Plate correction	32.5
S06_group_help	0.0184480322133516	0.037204317157624	0.0112930482088549	0	0.323314978493456	0.315856652157061	0.00530296679806064	0.00530296679806064	0.0287296632087222	0.00710145435516641	0.0434144082286371	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	TRUE	Run + Plate + group2-specific HELP correction	32.5
S00_raw	0.0179097800506957	0.0372043171576242	0.0112930482088549	0	0.32318274110782	0.315919722681552	0	0	0.0289497313188915	0.00667912909452054	0.0434812430151409	0.160049125092353	0.125244895482285	0.966330672039119	0.0967895925915077	0.0252040843921045	0.985953854387256	baseline	FALSE	Raw log2 protein data	35
S05_sequential_complete_group_median	0.0113402968840331	0.0350975978705818	0.0217243351055053	0.0104312868966504	0.0418117633943476	0	0.221704048204137	0.697382029760218	0.034711256954179	0.00521948710301966	0.0430454936258319	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	TRUE	S04 plus group2 median normalization	41
S07_group_help_group_median	0.0113402968840332	0.0350975978705819	0.01959855004426	0.0083055018354051	0.0340986531902353	0	0.216129874176742	0.71213080766436	0.0329984749458578	0.00526183694225318	0.0431320005080775	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	TRUE	S06 plus group2 median normalization	41
S01_legacy_group2	0.0113402968840332	0.0350975978705817	0.0109488973982504	-0.000344150810604587	0.0139691132481618	4.07870594906602e-16	0.241819531465596	0.629499360705592	0.0235108669759768	0.00555103911076221	0.0437807299912882	0.161833217192669	0.138585419175038	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	legacy	TRUE	Legacy-like independent Run/Plate plus group2 HELP and group2 median	42.5
S04_sequential_complete	0.0304035825436095	0.0410865192007836	0.0121153643027373	0.000822316093882404	0.356343128877856	0.358077728764038	0.054963377396847	0.297454216075469	0.0319600852569928	0.0166868570923095	0.0454291310757852	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	FALSE	Run + Plate + complete-HELP sample correction	46
S08_available_help	0.030640004206211	0.0411083488027896	0.0120937380726378	0.000800689863782811	0.357736736928851	0.359750280995303	0.0561866765649146	0.309919531323016	0.0319782424229836	0.0170671873816624	0.0457471300120188	0.159366765752644	0.121579220183754	0.966330672039119	0.0968808088184723	0.0237918653899744	0.985953854387256	scalar	FALSE	Missing-tolerant weighted HELP correction	49
S09_dual_anchor	0.0306397329168202	0.0411092554415782	0.0120937142700558	0.000800666061200857	0.357724490119111	0.359736941222558	0.0562521234183908	0.309880263210933	0.0319785096386884	0.0170669663389618	0.0457474684853112	0.159366765752644	0.121623724481233	0.966330672039119	0.0969214966125014	0.0238042055529362	0.985953854387256	scalar	FALSE	Dual Internal HELP/protein Run anchor + Plate + available HELP	49
S10_batch_model	0	0	0.011293048208855	1.00613961606655e-16	0.316399388241347	0.309581889653139	0.281689689370978	0.464425061004342	0.0326709209355177	0.00352231993363827	0.00303125399293704							model	FALSE	Protein-specific protected group2 + Run + Plate model	
S11_batch_help_pc_model	0	0	0.0131557572268226	0.0018627090179677	0.322725672869607	0.316041149839646	0.274653655387954	0.440939095622876	0.0363209197919383	0.00390680919921331	0.00337055489221144							model	FALSE	Protein-specific protected model with HELP PCs	
S12_conditional_model	0	0	0.0129643109924259	0.00167126278357099	0.320019032157385	0.313214302317504	0.237663849559384	0.390784004953736	0.0365820828166931	0.0038110148346191	0.0034344788305596							model	FALSE	Apply model correction only when technical partial R2 >= 0.05	
